Updated by EMCN WH,,,,,,,,,,,,,,,,,,Updated by Buyer/Planner,,,
Publish Date&Time,Product Family Category,Order Date/Week Day,BKPL Time,RTP Time,Sales order,Sales order item,Product,Product PL,BPO,PLO,Material Part No,Ctrl ID,Sales area,Shortage QTY,Quantity Required,Remarked By WH,Status,Status Updated,Destination (EMCN/Hub),Shortage Reason (Category),Shortage Reason (Comments)
5/15/2017 14:46,Kitting,2017-05-11/Thu,5/11/2017 16:45,5/11/2017 16:49,7700492529,30,L7F20A,43,G50696008-000000,5001944819,TE223-63109,7UC,CN01,1,1,,,,,,
5/15/2017 14:46,Kitting,2017-05-11/Thu,5/12/2017 10:42,5/12/2017 10:48,7700489586,420,BD362A,43,G50696473-000000,5001945531,TE223-63109,7UC,CN01,1,1,,,,,,
5/15/2017 14:46,ISS-Server,2017-05-10/Wed,5/12/2017 15:24,5/15/2017 10:50,7700492810,160,849865-B21#AKM,SY,G50696837-000000,5001943143,828803-001,7HE,CN01,4,6,,,,,,
5/15/2017 14:46,Kitting,2017-05-08/Mon,5/12/2017 16:27,5/12/2017 16:31,7700489945,80,L7F20A,43,G50696960-000000,5001938637,TE223-63109,7UC,CN01,1,1,,,,,,
5/15/2017 14:46,ISS-Server,2017-04-27/Thu,5/15/2017 0:37,5/15/2017 0:45,7700484050,10,K2R66A,3V,G50697677-000000,5001925447,818383-B21,7GA,CN01,1,1,,,,,,
5/15/2017 14:46,ISS-Server,2017-04-27/Thu,5/15/2017 0:38,5/15/2017 0:44,7700485338,10,K2R66A,3V,G50697678-000000,5001926005,818383-B21,7GA,CN01,1,1,,,,,,
5/15/2017 14:46,Kitting,2017-05-09/Tue,5/15/2017 0:39,5/15/2017 0:46,7700491154,90,L7F20A,43,G50697704-000000,5001942274,TE223-63109,7UC,CN01,1,1,,,,,,
5/15/2017 14:46,ISS-Server,2017-04-28/Fri,5/15/2017 1:45,5/15/2017 1:56,7700486641,10,719064-B21#AKM,SY,G50697793-000000,5001928687,804574-005,7BD,CN01,89,160,,,,,,
5/15/2017 14:46,ISS-Server,2017-05-09/Tue,5/15/2017 1:47,5/15/2017 1:54,7700490963,10,755258-B21#AKM,SY,G50697807-000000,5001939894,778979-001,7HE,CN01,4,4,,,,,,
5/15/2017 14:46,ISS-Server,2017-05-10/Wed,5/15/2017 1:47,5/15/2017 1:54,7700491273,10,719064-B21#AKM,SY,G50697808-000000,5001943015,828803-001,7HE,CN01,2,2,,,,,,
5/15/2017 14:46,ISS-Server,2017-05-11/Thu,5/15/2017 1:47,5/15/2017 1:54,7700493350,80,719064-B21#AKM,SY,G50697811-000000,5001946642,828803-001,7HE,CN01,3,3,,,,,,
5/15/2017 14:46,ISS-Server,2017-05-05/Fri,5/15/2017 13:22,5/15/2017 13:27,7700488941,10,823401-B21#AKM,LA,G50698070-000000,5001936915,122657-00A,7Z1,CN01,10,10,,,,,,
5/15/2017 14:46,ISS-Server,2017-05-05/Fri,5/15/2017 13:22,5/15/2017 13:27,7700488941,10,823401-B21#AKM,LA,G50698070-000000,5001936915,122657-00B,7Z1,CN01,10,10,,,,,,
