|*|,|BATCH NO#  |,|Publish Date&Time|,|Product Family Category|,|BKPL Time|,|RTP Time|,|Sales order|,|Sales order item|,|Product|,|Product Description|,|Product PL|,|Product QTY|,|Technology|,|BPO|,|PLO|,|Material Part No|,|Material Description|,|Material Category|,|Ctrl ID|,|Sales area|,|Shortage QTY|,|Quantity Required|,|Quantity Revised|,|Remarked By WH|,|VMI Unrestricted QTY|,|HOI Main Storage Type QTY|,|311-CD|,|311-CE|,|311-CG|,|311-CP|,|311-PA|,|311-PD|,|BPO# Urgent 1|,|BPO# Urgent 2|,|BPO# Build|,|BPO# Kitting|,|BPO# Option|,|PLO# Urgent 1|,|PLO# Urgent 2|,|PLO# Build|,|PLO# Kitting|,|PLO# Option|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:11|,|2017-05-09 00:17|,|7700484008|,|10|,|K2Q36B|,|HPE 3PAR 8200 2N+SW Storage Field Base|,|4A|,|1|,|TORNADO|,|G50692488-000000|,|5001922675|,|142263-008|,|ASSY, CORD,AC,IEC-IEC,1.64FT|,|7WC/7WD|,|7WC|,|CN01|,|0|,|1|,|1|,||,|0|,|0|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:11|,|2017-05-09 00:17|,|7700484008|,|10|,|K2Q36B|,|HPE 3PAR 8200 2N+SW Storage Field Base|,|4A|,|1|,|TORNADO|,|G50692488-000000|,|5001922675|,|5697-3706|,|Universal LTU Envelope With Window|,|包装|,|7W1|,|CN01|,|0|,|1|,|1|,||,|0|,|1|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:11|,|2017-05-09 00:17|,|7700484008|,|10|,|K2Q36B|,|HPE 3PAR 8200 2N+SW Storage Field Base|,|4A|,|1|,|TORNADO|,|G50692488-000000|,|5001922675|,|691970-003|,|CA, EXT, iPASS x4 HD to HD, 3.0, 2m|,|装配|,|7EB|,|CN01|,|0|,|2|,|2|,||,|0|,|2|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:11|,|2017-05-09 00:17|,|7700484008|,|10|,|K2Q36B|,|HPE 3PAR 8200 2N+SW Storage Field Base|,|4A|,|1|,|TORNADO|,|G50692488-000000|,|5001922675|,|793950-001|,|ASSY, 2U, RAIL KIT, TORNADO|,|装配|,|7GA|,|CN01|,|0|,|1|,|1|,||,|1|,|0|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:11|,|2017-05-09 00:17|,|7700484008|,|10|,|K2Q36B|,|HPE 3PAR 8200 2N+SW Storage Field Base|,|4A|,|1|,|TORNADO|,|G50692488-000000|,|5001922675|,|816845-001|,|Service Processor Accessory Kit DL120G9|,|装配|,|7UB|,|CN01|,|0|,|1|,|1|,||,|0|,|1|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:11|,|2017-05-09 00:17|,|7700484008|,|10|,|K2Q36B|,|HPE 3PAR 8200 2N+SW Storage Field Base|,|4A|,|1|,|TORNADO|,|G50692488-000000|,|5001922675|,|H6Y95-96002|,|StoreServ_8000_Chassis_Handling_RMF|,||,|7W1|,|CN01|,|0|,|1|,|1|,||,|0|,|1|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:11|,|2017-05-09 00:17|,|7700484008|,|10|,|K2Q36B|,|HPE 3PAR 8200 2N+SW Storage Field Base|,|4A|,|1|,|TORNADO|,|G50692488-000000|,|5001922675|,|H6Z10A@@|,|HP 3PAR 8000 2-pt 10Gb iSCSI/FCoE Adptr|,||,|7ED|,|CN01|,|0|,|2|,|2|,||,|0|,|2|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:11|,|2017-05-09 00:17|,|7700484008|,|10|,|K2Q36B|,|HPE 3PAR 8200 2N+SW Storage Field Base|,|4A|,|1|,|TORNADO|,|G50692488-000000|,|5001922675|,|K2P98B@@|,|3PAR 8K 600GB+SW 15K SFF HDD|,||,|7IC|,|CN01|,|0|,|12|,|12|,||,|0|,|12|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:11|,|2017-05-09 00:17|,|7700484008|,|10|,|K2Q36B|,|HPE 3PAR 8200 2N+SW Storage Field Base|,|4A|,|1|,|TORNADO|,|G50692488-000000|,|5001922675|,|K2Q35-63012|,|ASSY, ENCLOSURE, 8200, BULK-PACK|,|机箱|,|7ED|,|CN01|,|0|,|1|,|1|,||,|0|,|1|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
|*|,|HPE17050106|,|2017-05-09 15:55|,|EVA|,|2017-05-09 00:11|,|2017-05-09 00:17|,|7700484008|,|10|,|K2Q36B|,|HPE 3PAR 8200 2N+SW Storage Field Base|,|4A|,|1|,|TORNADO|,|G50692488-000000|,|5001922675|,|M0S92B@@|,|3PAR 8K 2TB+SW 7.2K SFF HDD|,||,|7IC|,|CN01|,|0|,|12|,|12|,||,|0|,|12|,|0|,|0|,|0|,|0|,|0|,|0|,|N|,|N|,|Y|,|N|,|N|,|N|,|N|,|Y|,|N|,|N|,
